mediadive_id	name	complex_medium	source	link	min_pH	max_pH	reference	description	ingredents
mediadive.ingredient:25	RHODOPSEUDOMONAS GLOBIFORMIS MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium25.pdf	4.9	4.9			{'Yeast extract': 'CAS-RN:8013-01-2', 'Mannitol': 'CHEBI:29864', 'Na-gluconate': 'CHEBI:84997', 'KH2PO4': 'CHEBI:63036', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'NH4Cl': 'CHEBI:31206', 'NaCl': 'CHEBI:26710', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Trace element solution SL-6': 'mediadive.solution:25', 'Distilled water': 'CHEBI:15377', 'Fe(III) citrate': 'CHEBI:144421', 'Biotin': 'CHEBI:15956', 'p-Aminobenzoic acid': 'CHEBI:30753', 'Sodium thiosulfate pentahydrate': 'CHEBI:32150', 'ZnSO4 x 7 H2O': 'CHEBI:32312', 'MnCl2 x 4 H2O': 'CHEBI:86368', 'H3BO3': 'CHEBI:33118', 'CoCl2 x 6 H2O': 'CHEBI:35696', 'CuCl2 x 2 H2O': 'CHEBI:86318', 'NiCl2 x 6 H2O': 'CHEBI:34887', 'Na2MoO4 x 2 H2O': 'CHEBI:75213'}
mediadive.ingredient:26	ACID RHODOSPIRILLACEAE MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium26.pdf	5.7	5.7			{'Yeast extract': 'CAS-RN:8013-01-2', 'Disodium succinate': 'CHEBI:63675', 'Ammonium acetate': 'CHEBI:62947', 'Fe(III) citrate': 'CHEBI:144421', 'KH2PO4': 'CHEBI:63036', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'NaCl': 'CHEBI:26710', 'NH4Cl': 'CHEBI:31206', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Vitamin B12': 'CHEBI:17439', 'Trace element solution SL-6': 'mediadive.solution:25', 'L-Cysteine HCl': 'CHEBI:52891', 'Resazurin': 'CHEBI:8806', 'Distilled water': 'CHEBI:15377', 'ZnSO4 x 7 H2O': 'CHEBI:32312', 'MnCl2 x 4 H2O': 'CHEBI:86368', 'H3BO3': 'CHEBI:33118', 'CoCl2 x 6 H2O': 'CHEBI:35696', 'CuCl2 x 2 H2O': 'CHEBI:86318', 'NiCl2 x 6 H2O': 'CHEBI:34887', 'Na2MoO4 x 2 H2O': 'CHEBI:75213'}
mediadive.ingredient:27	RHODOSPIRILLACEAE MEDIUM (modified)	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium27.pdf	6.8	6.8			{'Yeast extract': 'CAS-RN:8013-01-2', 'Disodium succinate': 'CHEBI:63675', 'Ammonium acetate': 'CHEBI:62947', 'Fe(III) citrate': 'CHEBI:144421', 'KH2PO4': 'CHEBI:63036', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'NaCl': 'CHEBI:26710', 'NH4Cl': 'CHEBI:31206', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Vitamin B12': 'CHEBI:17439', 'Trace element solution SL-6': 'mediadive.solution:25', 'L-Cysteine HCl': 'CHEBI:52891', 'Resazurin': 'CHEBI:8806', 'Distilled water': 'CHEBI:15377', 'ZnSO4 x 7 H2O': 'CHEBI:32312', 'MnCl2 x 4 H2O': 'CHEBI:86368', 'H3BO3': 'CHEBI:33118', 'CoCl2 x 6 H2O': 'CHEBI:35696', 'CuCl2 x 2 H2O': 'CHEBI:86318', 'NiCl2 x 6 H2O': 'CHEBI:34887', 'Na2MoO4 x 2 H2O': 'CHEBI:75213'}
mediadive.ingredient:28	PFENNIG'S MEDIUM I 	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium28.pdf	7.1	7.3			"{'Solution A': 'mediadive.solution:27', 'Resazurin solution': 'mediadive.solution:30', 'Bicarbonate solution': 'mediadive.solution:29', ""Pfennig's heterotrophic salts solution"": 'mediadive.solution:31', 'Sulfide solution, 1.5%': 'mediadive.solution:28', 'Vitamin B12 solution': 'mediadive.solution:32', 'Neutralized sulfide solution 3% (w/v)': 'mediadive.solution:34', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Yeast extract': 'CAS-RN:8013-01-2', 'Distilled water': 'CHEBI:15377', 'Na2S x 9 H2O': 'CHEBI:76209', 'NaHCO3': 'CHEBI:32139', 'H2O': 'CHEBI:15377', 'Resazurin': 'CHEBI:8806', 'Ammonium chloride': 'CHEBI:31206', 'Ammonium acetate': 'CHEBI:62947', 'Pyruvic acid sodium salt': 'CHEBI:113246', 'Dextrose': 'CHEBI:4167', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'KCl': 'CHEBI:32588', 'KH2PO4': 'CHEBI:63036', 'Trace element solution SL-12 B': 'mediadive.solution:33', 'Vitamin B12': 'CHEBI:17439', 'Na2-EDTA': 'CHEBI:64734', 'FeSO4 x 7 H2O': 'CHEBI:75836', 'CoCl2 x 6 H2O': 'CHEBI:35696', 'MnCl2 x 2 H2O': 'CAS-RN:20603-88-7', 'ZnCl2': 'CHEBI:49976', 'NiCl2 x 6 H2O': 'CHEBI:34887', 'Na2MoO4 x 2 H2O': 'CHEBI:75213', 'H3BO3': 'CHEBI:33118', 'CuCl2 x 2 H2O': 'CHEBI:86318'}"
mediadive.ingredient:28a	THIORHODOCOCCUS MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium28a.pdf	7.1	7.3			"{'Main sol. 28': 'mediadive.solution:26', 'NaCl': 'CHEBI:26710', 'MgCl2 x 6 H2O': 'CHEBI:86345', 'Sodium Thiosulfate': 'CHEBI:132112', 'Solution A': 'mediadive.solution:27', 'Resazurin solution': 'mediadive.solution:30', 'Bicarbonate solution': 'mediadive.solution:29', ""Pfennig's heterotrophic salts solution"": 'mediadive.solution:31', 'Sulfide solution, 1.5%': 'mediadive.solution:28', 'Vitamin B12 solution': 'mediadive.solution:32', 'Neutralized sulfide solution 3% (w/v)': 'mediadive.solution:34', 'Na2S x 9 H2O': 'CHEBI:76209', 'Distilled water': 'CHEBI:15377'}"
mediadive.ingredient:28b	THIORHODOCOCCUS MEDIUM II	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium28b.pdf	7.5	7.5			"{'Main sol. 28': 'mediadive.solution:26', 'NaCl': 'CHEBI:26710', 'Na2S2O3 x 5 H2O': 'CHEBI:32150', 'MgCl2 x 6 H2O': 'CHEBI:86345', 'Solution A': 'mediadive.solution:27', 'Resazurin solution': 'mediadive.solution:30', 'Bicarbonate solution': 'mediadive.solution:29', ""Pfennig's heterotrophic salts solution"": 'mediadive.solution:31', 'Sulfide solution, 1.5%': 'mediadive.solution:28', 'Vitamin B12 solution': 'mediadive.solution:32', 'Neutralized sulfide solution 3% (w/v)': 'mediadive.solution:34', 'Na2S x 9 H2O': 'CHEBI:76209', 'Distilled water': 'CHEBI:15377'}"
mediadive.ingredient:29	PFENNIG'S MEDIUM II	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium29.pdf	6.8	7.1			{'Solution A': 'mediadive.solution:38', 'Solution B': 'mediadive.solution:39', 'Solution C': 'mediadive.solution:40', 'Solution D': 'mediadive.solution:41', 'Solution E': 'mediadive.solution:42', 'Solution F': 'mediadive.solution:43', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Yeast extract': 'CAS-RN:8013-01-2', 'Distilled water': 'CHEBI:15377', 'NaHCO3': 'CHEBI:32139', 'H2O': 'CHEBI:15377', 'Resazurin': 'CHEBI:8806', 'Ammonium chloride': 'CHEBI:31206', 'Ammonium acetate': 'CHEBI:62947', 'Pyruvic acid sodium salt': 'CHEBI:113246', 'Dextrose': 'CHEBI:4167', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'KCl': 'CHEBI:32588', 'KH2PO4': 'CHEBI:63036', 'Trace element solution SL-10 B': 'mediadive.solution:5536', 'Vitamin B12': 'CHEBI:17439', 'Na2S x 9 H2O': 'CHEBI:76209', 'HCl': 'CHEBI:17883', 'FeSO4 x 7 H2O': 'CHEBI:75836', 'ZnCl2': 'CHEBI:49976', 'MnCl2 x 4 H2O': 'CHEBI:86368', 'H3BO3': 'CHEBI:33118', 'CoCl2 x 6 H2O': 'CHEBI:35696', 'CuCl2 x 2 H2O': 'CHEBI:86318', 'NiCl2 x 6 H2O': 'CHEBI:34887', 'Na2MoO4 x 2 H2O': 'CHEBI:75213'}
mediadive.ingredient:29a	MEDIUM FOR CHLOROBIUM FERROOXIDANS	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium29a.pdf	6.8	6.8			{'Solution A': 'mediadive.solution:38', 'Solution B': 'mediadive.solution:39', 'Solution C': 'mediadive.solution:40', 'Solution D': 'mediadive.solution:41', 'Solution E': 'mediadive.solution:42', 'Solution F': 'mediadive.solution:43', 'Bicarbonate': 'CAS-RN:71-52-3', 'FeSO4': 'CHEBI:75832', 'Acetate': 'CHEBI:30089', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Yeast extract': 'CAS-RN:8013-01-2', 'Distilled water': 'CHEBI:15377', 'NaHCO3': 'CHEBI:32139', 'H2O': 'CHEBI:15377', 'Resazurin': 'CHEBI:8806', 'Ammonium chloride': 'CHEBI:31206', 'Ammonium acetate': 'CHEBI:62947', 'Pyruvic acid sodium salt': 'CHEBI:113246', 'Dextrose': 'CHEBI:4167', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'KCl': 'CHEBI:32588', 'KH2PO4': 'CHEBI:63036', 'Trace element solution SL-10 B': 'mediadive.solution:5536', 'Vitamin B12': 'CHEBI:17439', 'HCl': 'CHEBI:17883', 'FeSO4 x 7 H2O': 'CHEBI:75836', 'ZnCl2': 'CHEBI:49976', 'MnCl2 x 4 H2O': 'CHEBI:86368', 'H3BO3': 'CHEBI:33118', 'CoCl2 x 6 H2O': 'CHEBI:35696', 'CuCl2 x 2 H2O': 'CHEBI:86318', 'NiCl2 x 6 H2O': 'CHEBI:34887', 'Na2MoO4 x 2 H2O': 'CHEBI:75213'}
mediadive.ingredient:31	ALKALINE NUTRIENT AGAR	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium31.pdf	9.7	9.7			{'Peptone': 'CAS-RN:73049-73-7', 'Meat extract': 'mediadive.ingredient:2', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377', 'Na-sesquicarbonate solution': 'mediadive.solution:46', 'NaHCO3': 'CHEBI:32139', 'Na2CO3 anhydrous': 'CHEBI:29377'}
mediadive.ingredient:32	PHOTOBACTERIUM MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium32.pdf	7.2	7.5			{'Sea Salt': 'mediadive.ingredient:423', 'Yeast extract': 'CAS-RN:8013-01-2', 'Tryptone': 'CAS-RN:91079-40-2', 'Glycerol': 'CHEBI:17754', 'Tris': 'CHEBI:9754', 'NH4Cl': 'CHEBI:31206', 'Distilled water': 'CHEBI:15377', 'CaCO3': 'CHEBI:3311', 'Agar': 'CHEBI:2509'}
mediadive.ingredient:34	CARYOPHANON LATUM MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium34.pdf	7.8	7.8			{'Yeast extract': 'CAS-RN:8013-01-2', 'Trypticase': 'mediadive.ingredient:74', 'Soy peptone': 'CAS-RN:91079-46-8', 'Na-acetate': 'CHEBI:32954', 'Na glutamate': 'CHEBI:64220', 'Thiamine-HCl x 2 H2O': 'CHEBI:132751', 'Biotin': 'CHEBI:15956', 'K2HPO4': 'CHEBI:131527', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'Tris-HCl buffer': 'CAS-RN:1185-53-1'}
mediadive.ingredient:35	ACIDITHIOBACILLUS MEDIUM	0	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium35.pdf	4.2	4.2			{'NH4Cl': 'CHEBI:31206', 'KH2PO4': 'CHEBI:63036', 'MgCl2 x 6 H2O': 'CHEBI:86345', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Sulfur': 'CHEBI:26833', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:35a	THIOMONAS MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium35a.pdf	6	6			{'Soution A': 'mediadive.solution:52', 'Solution B': 'mediadive.solution:53', 'Solution C': 'mediadive.solution:54', 'Solution D': 'mediadive.solution:55', 'NH4Cl': 'CHEBI:31206', 'KH2PO4': 'CHEBI:63036', 'Agar': 'CHEBI:2509', 'Distilled water': 'CHEBI:15377', 'MgCl2 x 6 H2O': 'CHEBI:86345', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Na2S2O3 x 5 H2O': 'CHEBI:32150', 'Yeast extract': 'CAS-RN:8013-01-2'}
mediadive.ingredient:36	THIOBACILLUS MEDIUM	0	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium36.pdf	6.6	6.6			{'(NH4)2SO4': 'CHEBI:62946', 'K2HPO4': 'CHEBI:131527', 'KH2PO4': 'CHEBI:63036', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'CaCl2': 'CHEBI:3312', 'FeCl3 x 6 H2O': 'CHEBI:86254', 'MnSO4 x H2O': 'CHEBI:86364', 'Agar': 'CHEBI:2509', 'Na2S2O3 x 5 H2O': 'CHEBI:32150', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:37	SPIRILLUM MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium37.pdf	6.8	6.8			{'Peptone': 'CAS-RN:73049-73-7', 'Succinic acid': 'CHEBI:15741', '(NH4)2SO4': 'CHEBI:62946', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'FeCl3 x 6 H2O': 'CHEBI:86254', 'MnSO4 x H2O': 'CHEBI:86364', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:38	ACETOANAEROBIUM MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium38.pdf	7	7			{'Tryptone': 'CAS-RN:91079-40-2', 'Yeast extract': 'CAS-RN:8013-01-2', 'K2HPO4': 'CHEBI:131527', 'KH2PO4': 'CHEBI:63036', 'Sodium resazurin': 'CAS-RN:62758-13-8', 'Na2S x 9 H2O': 'CHEBI:76209', 'Distilled water': 'CHEBI:15377'}
mediadive.ingredient:39	PFENNIG'S MEDIUM I WITH YEAST EXTRACT	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium39.pdf					"{'Main sol. 28': 'mediadive.solution:26', 'Yeast extract': 'CAS-RN:8013-01-2', 'Solution A': 'mediadive.solution:27', 'Resazurin solution': 'mediadive.solution:30', 'Bicarbonate solution': 'mediadive.solution:29', ""Pfennig's heterotrophic salts solution"": 'mediadive.solution:31', 'Sulfide solution, 1.5%': 'mediadive.solution:28', 'Vitamin B12 solution': 'mediadive.solution:32', 'Neutralized sulfide solution 3% (w/v)': 'mediadive.solution:34', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Distilled water': 'CHEBI:15377', 'Na2S x 9 H2O': 'CHEBI:76209', 'NaHCO3': 'CHEBI:32139', 'H2O': 'CHEBI:15377', 'Resazurin': 'CHEBI:8806', 'Ammonium chloride': 'CHEBI:31206', 'Ammonium acetate': 'CHEBI:62947', 'Pyruvic acid sodium salt': 'CHEBI:113246', 'Dextrose': 'CHEBI:4167', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'KCl': 'CHEBI:32588', 'KH2PO4': 'CHEBI:63036', 'Trace element solution SL-12 B': 'mediadive.solution:33', 'Vitamin B12': 'CHEBI:17439'}"
mediadive.ingredient:40	PFENNIG'S MEDIUM II WITH SALT	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium40.pdf					{'Main sol. 29': 'mediadive.solution:37', 'NaCl': 'CHEBI:26710', 'Solution A': 'mediadive.solution:38', 'Solution B': 'mediadive.solution:39', 'Solution C': 'mediadive.solution:40', 'Solution D': 'mediadive.solution:41', 'Solution E': 'mediadive.solution:42', 'Solution F': 'mediadive.solution:43', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Yeast extract': 'CAS-RN:8013-01-2', 'Distilled water': 'CHEBI:15377', 'NaHCO3': 'CHEBI:32139', 'H2O': 'CHEBI:15377', 'Resazurin': 'CHEBI:8806', 'Ammonium chloride': 'CHEBI:31206', 'Ammonium acetate': 'CHEBI:62947', 'Pyruvic acid sodium salt': 'CHEBI:113246', 'Dextrose': 'CHEBI:4167', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'KCl': 'CHEBI:32588', 'KH2PO4': 'CHEBI:63036', 'Trace element solution SL-10 B': 'mediadive.solution:5536', 'Vitamin B12': 'CHEBI:17439'}
mediadive.ingredient:43	PFENNIG'S MEDIUM I WITH SALT	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium43.pdf	7.1	7.3			"{'Main sol. 28': 'mediadive.solution:26', 'NaCl': 'CHEBI:26710', 'Solution A': 'mediadive.solution:27', 'Resazurin solution': 'mediadive.solution:30', 'Bicarbonate solution': 'mediadive.solution:29', ""Pfennig's heterotrophic salts solution"": 'mediadive.solution:31', 'Sulfide solution, 1.5%': 'mediadive.solution:28', 'Vitamin B12 solution': 'mediadive.solution:32', 'Neutralized sulfide solution 3% (w/v)': 'mediadive.solution:34', 'CaCl2 x 2 H2O': 'CHEBI:86158', 'Yeast extract': 'CAS-RN:8013-01-2', 'Distilled water': 'CHEBI:15377', 'Na2S x 9 H2O': 'CHEBI:76209', 'NaHCO3': 'CHEBI:32139', 'H2O': 'CHEBI:15377', 'Resazurin': 'CHEBI:8806', 'Ammonium chloride': 'CHEBI:31206', 'Ammonium acetate': 'CHEBI:62947', 'Pyruvic acid sodium salt': 'CHEBI:113246', 'Dextrose': 'CHEBI:4167', 'MgSO4 x 7 H2O': 'CHEBI:31795', 'KCl': 'CHEBI:32588', 'KH2PO4': 'CHEBI:63036', 'Trace element solution SL-12 B': 'mediadive.solution:33', 'Vitamin B12': 'CHEBI:17439'}"
mediadive.ingredient:44	RHODOCYCLUS PURPUREUS MEDIUM	1	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium44.pdf				same as Medium 27	{}
